GeneID	GSM1122673	GSM1122674	GSM1122675	GSM1122676	GSM1122677	GSM1122678
107984452	0	0	0	0	0	0
116437	0.01641	0	0.02608	0.2736	0.1664	0.219
105370082	0	0.004326	0.0091	0	0	0
107987177	0	0	0	0	0	0
100128002	0.005045	0	0.005726	0.01121	0.004737	0.02845
107161159	0.006187	0.006677	0.007023	0.02063	0.005809	0.05233
105370083	0	0	0.02963	0	0	0.04906
338797	0	0	0.005136	0.005029	0.004248	0.004252
101929974	0.03136	0.01302	0.0356	0.185	0.09212	0.1134
105370084	0	0	0	0	0	0
105370085	0	0	0	0.005341	0	0.004517
105370086	0	0	0.02485	0	0.005139	0.0463
100996701	0.00494	0	0	0.005491	0	0.01393
105370087	0	0	0	0.003019	0	0.002553
6433	8.239	6.855	8.481	8.589	6.632	7.758
105370088	0.1297	0.1399	0.2502	0.1153	0.1461	0.2559
4326	3.967	5.485	4.67	4.75	6.047	3.892
8408	5.041	4.189	5.847	11.1	9.329	9.044
107984455	0.2215	0.1125	0.1479	0.2317	0.159	0.1469
80324	9.264	9.161	8.682	4.896	3.574	4.4
57634	11.41	9.938	9.263	10.56	8.602	8.764
677829	0.1185	0.06395	0.06725	0.06585	0.1113	0.05569
347918	2.41	1.873	2.359	2.116	1.674	1.75
317781	6.299	6.01	6.611	4.892	3.932	4.959
79050	15.11	12.66	14.31	10.36	7.043	9.869
105370090	0.005962	0	0	0.006626	0	0
107984456	0	0	0	0	0	0
100996246	0.2625	0.242	0.3415	0.4802	0.7344	0.5706
50614	0.002544	0	0	0	0.004778	0
105370091	0.00587	0.004224	0	0.00435	0	0.001839
100130238	0	0.00226	0	0	0	0
101928416	0	0	0	0	0	0
105370092	0.06653	0.04401	0.08283	0.04651	0.06348	0.07464
112268102	0.1689	0.1975	0.229	0.1982	0.2643	0.2205
100129528	0.05522	0.04768	0.06686	0.1555	0.09678	0.09342
57666	6.214	6.153	6.241	5.719	4.495	4.056
102465975	0.7493	0.5391	0.7088	0.9715	0.5863	0.2347
105370094	0.01336	0.01802	0.00379	0.02227	0.00627	0.01255
100507055	0	0.003383	0	0.003483	0	0
22953	0.1107	0.0839	0.08021	0.05498	0.01991	0.01992
5426	14.17	11.67	12.75	8.519	4.582	7.081
5827	19.4	21.18	21.65	11.74	8.965	11.55
192111	24.53	24.92	22.03	15.09	11.78	14.19
23141	18.88	15.83	18.95	19.91	18.11	19.72
2802	7.668	7.15	6.237	7.332	7.134	5.401
55743	5.917	5.924	6.09	6.113	6.538	6.112
101928530	0.1196	0.2259	0.3563	0.04984	0.1263	0.1686
100289635	1.653	1.106	1.337	1.581	1.006	1.303
7574	0.7539	0.6418	0.8026	0.6823	0.5462	0.6936
101928597	0.02116	0.007611	0.01601	0.01568	0.02649	0.01326
7637	3.42	2.463	3.221	3.765	2.804	3.727
7699	3.423	2.846	3.535	3.845	3.176	4.05
101060200	0.5901	0.5013	0.5148	0.5496	0.3053	0.3312
7556	1.393	1.056	1.382	1.591	1.116	1.413
10795	1.946	1.603	1.566	1.507	1.058	1.185
647589	0	0	0	0	0.002438	0
26080	0	0	0	0	0	0
105379278	0.007973	0.008606	0.0181	0.02659	0.02246	0.01499
100874164	0	0	0.017	0	0	0
284232	0.004893	0.005281	0.005554	0.008157	0.002297	0.006898
100652856	0	0.008104	0	0	0	0
348021	0	0	0	0	0	0
107984132	0	0	0	0	0	0
7278	0	0	0	0	0	0
101928697	0	0	0	0	0	0
100101938	0.006535	0.002351	0.01236	0.004842	0.008182	0.00819
100287114	0.0231	0.02494	0	0	0.02169	0.01448
93492	0.09	0.06071	0.1277	0.2094	0.2033	0.3463
100874136	0	0	0.01639	0	0	0
54737	17.32	15.92	18.41	17.99	16.85	18.98
55269	8.246	7.654	8.85	6.302	5.32	6.703
9205	4.08	3.079	4.424	4.809	4.327	4.801
7750	6.166	4.928	6.268	4.726	3.562	3.903
104355137	0	0	0	0	0	0
105370101	0	0	0.01597	0	0.006605	0
2700	0.004613	0.004979	0.005236	0.01196	0.01444	0.001445
107984553	0	0	0	0.008527	0	0
2706	0.05906	0.01771	0.0149	0.2881	0.3512	0.09559
10804	0.01554	0.006711	0.01059	0.03801	0.02335	0.01753
105370102	0	0	0	0	0	0
51084	9.338	9.524	8.351	13.02	14.57	12.94
100616304	0	0	0	0	0.1105	0
105370103	0.009424	0.01017	0.0107	0.01396	0	0.005905
8100	1.778	1.706	1.821	1.336	1.281	1.34
53342	0.395	0.2801	0.3639	0.3181	0.2759	0.33
221143	4.547	4.998	4.824	3.58	3.462	3.799
64328	4.432	3.933	3.547	3.451	2.588	2.989
101930748	0.2162	0.175	0.3803	0.3123	0.2233	0.2946
26524	8.084	7.531	7.865	10.29	9.63	10.14
105370104	0.01951	0.02106	0.02215	0.02169	0	0
10284	35.61	34.62	38.43	34.47	31.95	37.55
221150	13.51	14.54	12.66	6.311	4.192	5.279
78988	16.91	18.54	17.05	15.63	13.64	15.93
103689843	0.04008	0	0	0	0	0.01884
105370105	0.007503	0.006074	0.01278	0.01042	0.005284	0.0141
101928764	0.06711	0.05604	0.09487	0.04785	0.03448	0.04642
650794	2.219	1.623	2.549	2.082	1.886	2.242
100652865	0.6269	0.7657	1.114	1.384	1.201	2.489
2871	0.3598	0.3341	0.3814	0.4411	0.2683	0.4202
253832	18.19	15.54	16.21	19.07	19.37	16.25
221154	21.17	18.8	22.08	19.04	18.35	21.34
107984582	0	0	0	0	0	0
2254	0	0.001761	0.003703	0.001813	0.003063	0
100874182	0	0	0	0	0	0
105370108	0	0.0009028	0.0009495	0	0	0
100506622	0.03788	0.02453	0.0215	0.01263	0.08536	0.0178
107984599	0.002082	0	0.004726	0	0	0
100996930	0.0417	0.08251	0.09466	0.05407	0.03915	0.04572
105370109	0	0	0	0	0	0
646201	0.007046	0	0	0.007831	0	0.006622
105370111	0	0	0	0	0	0
105370112	0	0	0	0	0	0
6445	0.01135	0	0	0.01262	0.04974	0.003557
107984585	0.003106	0.01006	0.003526	0.003452	0.01167	0.008759
26278	5.86	4.819	3.798	2.899	2.26	2.316
100506680	0	0	0	0	0	0
100506697	0.06223	0.008396	0.01324	0.04323	0.02922	0.02559
55504	1.117	1.136	0.7368	0.7258	0.5834	0.5815
105370114	0.001258	0.002716	0.001428	0	0.003544	0.002365
105370113	0.01213	0.01455	0.01836	0.00749	0.007594	0.01394
4285	6.072	5.282	4.051	2.605	1.767	2.213
542767	0.2602	0.2407	0.1941	0.157	0.09073	0.06288
387911	0.1389	0.09373	0.07886	0.09652	0.03805	0.04353
400110	0	0	0	0	0	0
105370115	0	0	0	0	0	0
221178	4.107	3.143	3.892	3.184	2.848	2.8
100313842	0	0	0	0	0	0
100874231	0.01875	0.02023	0	0.02083	0.0352	0.08809
338872	0.03295	0.02222	0.0187	0.01373	0.007734	0.01548
100861547	0	0	0	0	0	0
143	30.95	29.48	27.95	35.17	34.38	34.22
105370117	0.07805	0.05265	0.02215	0.03253	0.1191	0.06419
105370295	0.1087	0	0.03084	0.05435	0	0.01021
101927375	0.04086	0.0049	0.02061	0.03027	0.004263	0.0128
374491	0.01195	0.003226	0.006785	0.02989	0.005612	0.01124
