"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9906",7861.48629722269,0.613574572944299,0.129232632249335,4.74783003537757,2.05610705384574e-06,1.78102717639178e-05
"112268218",652.12832140306,-0.050398841242587,0.12486430197999,-0.403628903084435,0.686485628295565,0.802609748387617
"65220",8748.68764302358,-0.21374934474193,0.120153656989971,-1.77896661738536,0.0752452351048566,0.159362320159315
"2782",46385.674668137,-0.361640909665158,0.102080280981336,-3.54271075851837,0.000396036819244795,0.00190084192771979
"105378949",33.11951326598,-0.198334392620827,0.409752955366499,-0.484034074735176,0.628361686636399,0.758856348769999
"163688",15.9152844756441,-1.17543924705437,0.792791686715195,-1.4826583915437,0.138165194734173,0.256804360158865
"339456",39.8600989308222,-1.71369357683253,0.432680011569778,-3.96064881900875,7.47463921029014e-05,0.000439157299554576
"2563",1.99686468111242,1.45650889158409,1.73638024594815,0.838819086420073,0.401570838504571,NA
"5590",668.460082191158,0.255872136640408,0.217911506943904,1.17420204297094,0.240314107937533,0.390842050156108
"100506504",65.2748217587429,-0.430225952346049,0.328808786895555,-1.30843812419985,0.190724748749392,0.328191654930067
"199990",4012.67872260253,0.119635991285289,0.103070215649533,1.16072320729477,0.24575448097726,0.397138114683374
"112268219",336.363062744078,-0.444383073345557,0.195437922356911,-2.27378119858448,0.0229791452346992,0.0607358926054838
"105378593",6.83006195993484,0.376730337883737,0.910387133821577,0.413813337082564,0.679010815711643,NA
"6497",13911.5596198342,0.0131329716619198,0.0997737685588661,0.131627499408037,0.895278933388251,0.941292150831779
"79906",230.704313208751,-0.618491118036293,0.226088834486905,-2.7356110682773,0.00622645698446009,0.0202231798832226
"100129534",71.9101760510293,-0.391895995850042,0.334255257827519,-1.17244526951395,0.241018333451441,0.391503572835094
"11079",10530.0152842887,0.0413768407555007,0.105540378624608,0.392047492104158,0.695023123289261,0.809084295132286
"5192",1985.77516405617,0.069285598704576,0.112693172108168,0.614816296395245,0.538676045832258,0.685401470884603
"9651",116.541803164152,0.747914680007472,0.398036838991412,1.87900869151362,0.0602433064618644,0.133669611136765
"55229",1952.68951363528,-0.0264479557736854,0.14330877913101,-0.184552237023157,0.853580251621141,0.916486878453875
"388585",42.2312780234934,-1.95937849993469,0.552023616739085,-3.54944687241667,0.000386041354020149,0.0018614661381807
"115110",1137.89903813803,0.407335263328368,0.148017257202519,2.75194440855668,0.00592425766823797,0.0194302659293381
"8764",4883.44701504978,0.558834286756852,0.128805802398448,4.3385800666662,1.43406239969457e-05,0.000101541699542219
